Name,CatalogId,PartType,Mesh,Material,Gender,CompatibleBodyBuilds,MinimumAge,MaximumAge,EarliestYear,LatestYear,Tags,SelectionWeight,HiddenBodyRegions,bObscuredFallback,DefaultPrimaryColor,DefaultSecondaryColor
COAT_LONG_DARKBLUE_01,COAT_LONG_DARKBLUE_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Coat_Long.SK_TMOP_Coat_Long,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_DarkBlue.MI_TMOP_Clothing_DarkBlue,Unknown,"()",15,0,1975,1989,"(Coat,Long,DarkBlue,Dark,Winter,Wool)",1.5,12,False,"(R=0.025,G=0.055,B=0.12,A=1.0)","(R=0.025,G=0.055,B=0.12,A=1.0)"
COAT_LONG_BLACK_01,COAT_LONG_BLACK_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Coat_Long.SK_TMOP_Coat_Long,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Black.MI_TMOP_Clothing_Black,Unknown,"()",15,0,1975,1989,"(Coat,Long,Black,Dark,Winter,Wool)",1.5,12,False,"(R=0.025,G=0.025,B=0.03,A=1.0)","(R=0.025,G=0.025,B=0.03,A=1.0)"
COAT_SHORT_GREY_01,COAT_SHORT_GREY_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Coat_Short.SK_TMOP_Coat_Short,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Grey.MI_TMOP_Clothing_Grey,Unknown,"()",15,0,1975,1989,"(Coat,Short,Grey,Winter,Wool)",1.0,12,False,"(R=0.27,G=0.28,B=0.30,A=1.0)","(R=0.27,G=0.28,B=0.30,A=1.0)"
JACKET_DARKBLUE_01,JACKET_DARKBLUE_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Jacket_Standard.SK_TMOP_Jacket_Standard,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_DarkBlue.MI_TMOP_Clothing_DarkBlue,Unknown,"()",12,0,1975,1989,"(Jacket,DarkBlue,Dark,Winter)",1.5,12,False,"(R=0.025,G=0.055,B=0.12,A=1.0)","(R=0.025,G=0.055,B=0.12,A=1.0)"
JACKET_BLACK_01,JACKET_BLACK_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Jacket_Standard.SK_TMOP_Jacket_Standard,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Black.MI_TMOP_Clothing_Black,Unknown,"()",12,0,1975,1989,"(Jacket,Black,Dark,Winter)",1.4,12,False,"(R=0.025,G=0.025,B=0.03,A=1.0)","(R=0.025,G=0.025,B=0.03,A=1.0)"
LEATHER_JACKET_BLACK_01,LEATHER_JACKET_BLACK_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Jacket_Leather.SK_TMOP_Jacket_Leather,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Black.MI_TMOP_Clothing_Black,Unknown,"()",16,0,1970,1989,"(LeatherJacket,Jacket,Leather,Black,Dark)",0.8,12,False,"(R=0.025,G=0.025,B=0.03,A=1.0)","(R=0.025,G=0.025,B=0.03,A=1.0)"
PARKA_OLIVE_01,PARKA_OLIVE_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Parka.SK_TMOP_Parka,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Olive.MI_TMOP_Clothing_Olive,Unknown,"()",12,0,1975,1989,"(Parka,Jacket,Olive,Winter,Hood)",0.8,12,False,"(R=0.16,G=0.17,B=0.075,A=1.0)","(R=0.16,G=0.17,B=0.075,A=1.0)"
SAILING_JACKET_BLUE_01,SAILING_JACKET_BLUE_01,Outerwear,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_SailingJacket.SK_TMOP_SailingJacket,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_DarkBlue.MI_TMOP_Clothing_DarkBlue,Unknown,"()",12,0,1975,1989,"(SailingJacket,Jacket,Blue,DarkBlue,Winter)",0.5,12,False,"(R=0.025,G=0.055,B=0.12,A=1.0)","(R=0.025,G=0.055,B=0.12,A=1.0)"
SWEATER_DARKGREY_01,SWEATER_DARKGREY_01,UpperBody,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Sweater.SK_TMOP_Sweater,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_DarkGrey.MI_TMOP_Clothing_DarkGrey,Unknown,"()",10,0,1970,1989,"(Sweater,DarkGrey,Dark,Wool,Winter)",1.4,12,False,"(R=0.12,G=0.13,B=0.145,A=1.0)","(R=0.12,G=0.13,B=0.145,A=1.0)"
SWEATER_BEIGE_01,SWEATER_BEIGE_01,UpperBody,/Game/TMOP/Characters/Appearance/Clothing/1986/Meshes/SK_TMOP_Sweater.SK_TMOP_Sweater,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Beige.MI_TMOP_Clothing_Beige,Unknown,"()",10,0,1970,1989,"(Sweater,Beige,Wool,Winter)",0.8,12,False,"(R=0.48,G=0.39,B=0.25,A=1.0)","(R=0.48,G=0.39,B=0.25,A=1.0)"
