Name,CatalogId,PartType,Mesh,Material,Gender,CompatibleBodyBuilds,MinimumAge,MaximumAge,EarliestYear,LatestYear,Tags,SelectionWeight,HiddenBodyRegions,bObscuredFallback,DefaultPrimaryColor,DefaultSecondaryColor
FACE_MALE_GENERIC,FACE_MALE_GENERIC,Face,/Game/TMOP/Characters/Appearance/Faces/Standard/SK_TMOP_Face_Male_Generic.SK_TMOP_Face_Male_Generic,,Male,"()",15,0,1970,1989,"(GenericFace,RectangularFace,SquareFace,RoundFace,OvalFace,NarrowFace,WideFace,LargeNose,LongNose,NarrowNose,WideNose,SmallNose,MarkedCheekbones,ProjectedJaw,StrongJaw,ThinLips,FullLips,StraightBrows,StaringEyes)",1.0,0,False,"(R=0.42,G=0.28,B=0.21,A=1.0)","(R=0.42,G=0.28,B=0.21,A=1.0)"
FACE_FEMALE_GENERIC,FACE_FEMALE_GENERIC,Face,/Game/TMOP/Characters/Appearance/Faces/Standard/SK_TMOP_Face_Female_Generic.SK_TMOP_Face_Female_Generic,,Female,"()",15,0,1970,1989,"(GenericFace,RectangularFace,SquareFace,RoundFace,OvalFace,NarrowFace,WideFace,LargeNose,LongNose,NarrowNose,WideNose,SmallNose,MarkedCheekbones,ProjectedJaw,StrongJaw,ThinLips,FullLips,StraightBrows,StaringEyes)",1.0,0,False,"(R=0.42,G=0.28,B=0.21,A=1.0)","(R=0.42,G=0.28,B=0.21,A=1.0)"
FACE_UNISEX_GENERIC,FACE_UNISEX_GENERIC,Face,/Game/TMOP/Characters/Appearance/Faces/Standard/SK_TMOP_Face_Unisex_Generic.SK_TMOP_Face_Unisex_Generic,,Unknown,"()",15,0,1970,1989,"(GenericFace,RectangularFace,SquareFace,RoundFace,OvalFace,NarrowFace,WideFace,LargeNose,LongNose,NarrowNose,WideNose,SmallNose,MarkedCheekbones,ProjectedJaw,StrongJaw,ThinLips,FullLips,StraightBrows,StaringEyes)",0.5,0,False,"(R=0.42,G=0.28,B=0.21,A=1.0)","(R=0.42,G=0.28,B=0.21,A=1.0)"
HAIR_SHORT_DARK,HAIR_SHORT_DARK,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Short.SK_TMOP_Hair_Short,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",10,0,1970,1989,"(Hair,Short,Dark,Straight)",1.4,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
HAIR_SHORT_BROWN,HAIR_SHORT_BROWN,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Short.SK_TMOP_Hair_Short,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Brown.MI_TMOP_Hair_Brown,Unknown,"()",10,0,1970,1989,"(Hair,Short,Brown,Straight)",1.3,0,False,"(R=0.115,G=0.055,B=0.025,A=1.0)","(R=0.115,G=0.055,B=0.025,A=1.0)"
HAIR_SHORT_BLOND,HAIR_SHORT_BLOND,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Short.SK_TMOP_Hair_Short,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Blond.MI_TMOP_Hair_Blond,Unknown,"()",10,0,1970,1989,"(Hair,Short,Blond,Straight)",1.1,0,False,"(R=0.43,G=0.31,B=0.16,A=1.0)","(R=0.43,G=0.31,B=0.16,A=1.0)"
HAIR_MEDIUM_DARK,HAIR_MEDIUM_DARK,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Medium.SK_TMOP_Hair_Medium,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",10,0,1970,1989,"(Hair,MediumLength,Dark,Straight)",1.0,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
HAIR_LONG_DARK,HAIR_LONG_DARK,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Long.SK_TMOP_Hair_Long,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",10,0,1970,1989,"(Hair,Long,Dark,Straight)",0.8,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
HAIR_LONG_BROWN,HAIR_LONG_BROWN,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Long.SK_TMOP_Hair_Long,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Brown.MI_TMOP_Hair_Brown,Unknown,"()",10,0,1970,1989,"(Hair,Long,Brown,Straight)",0.8,0,False,"(R=0.115,G=0.055,B=0.025,A=1.0)","(R=0.115,G=0.055,B=0.025,A=1.0)"
HAIR_CURLY_DARK,HAIR_CURLY_DARK,Hair,/Game/TMOP/Characters/Appearance/Hair/1986/SK_TMOP_Hair_Curly.SK_TMOP_Hair_Curly,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",10,0,1970,1989,"(Hair,Curly,Dark)",0.8,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
