Name,CatalogId,PartType,Mesh,Material,Gender,CompatibleBodyBuilds,MinimumAge,MaximumAge,EarliestYear,LatestYear,Tags,SelectionWeight,HiddenBodyRegions,bObscuredFallback,DefaultPrimaryColor,DefaultSecondaryColor
MUSTACHE_DARK,MUSTACHE_DARK,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Mustache.SK_TMOP_Mustache,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",16,0,1970,1989,"(Mustache,Dark)",1.2,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
MUSTACHE_BROWN,MUSTACHE_BROWN,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Mustache.SK_TMOP_Mustache,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Brown.MI_TMOP_Hair_Brown,Unknown,"()",16,0,1970,1989,"(Mustache,Brown)",1.0,0,False,"(R=0.115,G=0.055,B=0.025,A=1.0)","(R=0.115,G=0.055,B=0.025,A=1.0)"
MUSTACHE_GREY,MUSTACHE_GREY,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Mustache.SK_TMOP_Mustache,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Grey.MI_TMOP_Hair_Grey,Unknown,"()",30,0,1970,1989,"(Mustache,Grey)",0.7,0,False,"(R=0.30,G=0.30,B=0.29,A=1.0)","(R=0.30,G=0.30,B=0.29,A=1.0)"
BEARD_DARK,BEARD_DARK,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Beard.SK_TMOP_Beard,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",16,0,1970,1989,"(Beard,MustacheAndBeard,Dark)",1.0,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
BEARD_BROWN,BEARD_BROWN,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Beard.SK_TMOP_Beard,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Brown.MI_TMOP_Hair_Brown,Unknown,"()",16,0,1970,1989,"(Beard,MustacheAndBeard,Brown)",0.9,0,False,"(R=0.115,G=0.055,B=0.025,A=1.0)","(R=0.115,G=0.055,B=0.025,A=1.0)"
BEARD_GREY,BEARD_GREY,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Beard.SK_TMOP_Beard,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Grey.MI_TMOP_Hair_Grey,Unknown,"()",30,0,1970,1989,"(Beard,MustacheAndBeard,Grey)",0.6,0,False,"(R=0.30,G=0.30,B=0.29,A=1.0)","(R=0.30,G=0.30,B=0.29,A=1.0)"
STUBBLE_DARK,STUBBLE_DARK,FacialHair,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Stubble.SK_TMOP_Stubble,/Game/TMOP/Characters/Appearance/Materials/Hair1986/MI_TMOP_Hair_Dark.MI_TMOP_Hair_Dark,Unknown,"()",16,0,1970,1989,"(Stubble,Dark)",0.8,0,False,"(R=0.035,G=0.022,B=0.015,A=1.0)","(R=0.035,G=0.022,B=0.015,A=1.0)"
GLASSES_BLACK_FRAME,GLASSES_BLACK_FRAME,Glasses,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Glasses_Plastic.SK_TMOP_Glasses_Plastic,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Black.MI_TMOP_Clothing_Black,Unknown,"()",10,0,1970,1989,"(Glasses,BlackFrame,Black)",1.0,0,False,"(R=0.025,G=0.025,B=0.03,A=1.0)","(R=0.025,G=0.025,B=0.03,A=1.0)"
GLASSES_METAL_FRAME,GLASSES_METAL_FRAME,Glasses,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Glasses_Metal.SK_TMOP_Glasses_Metal,,Unknown,"()",10,0,1970,1989,"(Glasses,MetalFrame,Grey)",1.0,0,False,"(R=0.30,G=0.30,B=0.32,A=1.0)","(R=0.30,G=0.30,B=0.32,A=1.0)"
SCARF_DARKBLUE,SCARF_DARKBLUE,Scarf,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Scarf_Wool.SK_TMOP_Scarf_Wool,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_DarkBlue.MI_TMOP_Clothing_DarkBlue,Unknown,"()",10,0,1970,1989,"(Scarf,DarkBlue,Dark,Wool,Winter)",1.2,2,False,"(R=0.025,G=0.055,B=0.12,A=1.0)","(R=0.025,G=0.055,B=0.12,A=1.0)"
SCARF_GREY,SCARF_GREY,Scarf,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Scarf_Wool.SK_TMOP_Scarf_Wool,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Grey.MI_TMOP_Clothing_Grey,Unknown,"()",10,0,1970,1989,"(Scarf,Grey,Wool,Winter)",1.0,2,False,"(R=0.27,G=0.28,B=0.30,A=1.0)","(R=0.27,G=0.28,B=0.30,A=1.0)"
SCARF_RED,SCARF_RED,Scarf,/Game/TMOP/Characters/Appearance/Accessories/1986/SK_TMOP_Scarf_Wool.SK_TMOP_Scarf_Wool,/Game/TMOP/Characters/Appearance/Materials/Clothing1986/MI_TMOP_Clothing_Red.MI_TMOP_Clothing_Red,Unknown,"()",10,0,1970,1989,"(Scarf,Red,Wool,Winter)",0.6,2,False,"(R=0.32,G=0.025,B=0.025,A=1.0)","(R=0.32,G=0.025,B=0.025,A=1.0)"
